City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hasaki,35.7333,140.8333,45.0,61,100,18.1,JP,1710276795
1,kununurra,-15.7667,128.7333,78.78,94,100,5.75,AU,1710276749
2,avarua,-21.2078,-159.775,82.45,83,75,9.22,CK,1710276795
3,hadibu,12.65,54.0333,78.67,80,10,6.93,YE,1710276795
4,vorgashor,67.5833,63.95,10.74,93,100,27.04,RU,1710276796
5,duyun,26.2667,107.5167,55.76,97,100,3.38,CN,1710276796
6,ilulissat,69.2167,-51.1,12.22,92,75,3.44,GL,1710276594
7,la passe,45.5549,-0.8967,52.03,94,100,4.47,FR,1710276649
8,yamada,39.4667,141.95,34.79,78,86,13.98,JP,1710276797
9,kalmunai,7.4167,81.8167,76.77,79,81,1.39,LK,1710276702
10,adamstown,-25.066,-130.1015,78.22,76,86,6.85,PN,1710276797
11,aksu,41.1231,80.2644,44.71,30,91,3.4,CN,1710276798
12,albany,42.6001,-73.9662,57.69,35,3,3.0,US,1710276522
13,papatowai,-46.5619,169.4708,51.84,63,51,13.89,NZ,1710276806
14,mantenopolis,-18.8625,-41.1228,74.39,88,30,4.76,BR,1710276806
15,tiksi,71.6872,128.8694,-4.43,99,100,4.72,RU,1710276585
16,waingapu,-9.6567,120.2641,78.17,88,100,6.6,ID,1710276682
17,pokhvistnevo,53.6524,52.1274,15.89,98,91,5.03,RU,1710276808
18,ta`u,-14.2336,-169.5144,83.43,79,70,9.78,AS,1710276808
19,iqaluit,63.7506,-68.5145,-7.31,69,20,2.3,CA,1710276808
20,katsuura,35.1333,140.3,47.77,66,100,17.85,JP,1710276808
21,port-aux-francais,-49.35,70.2167,41.56,73,23,37.89,TF,1710276579
22,chibougamau,49.9168,-74.3659,24.42,86,100,3.44,CA,1710276809
23,san patricio,28.017,-97.5169,80.46,62,98,13.0,US,1710276809
24,blackmans bay,-43.0167,147.3167,51.93,77,21,2.19,AU,1710276810
25,hamilton,39.1834,-84.5333,68.5,32,100,8.01,US,1710276643
26,longyearbyen,78.2186,15.6401,13.84,73,75,20.71,SJ,1710276810
27,caucete,-31.6518,-68.2811,97.65,32,0,24.32,AR,1710276810
28,klyuchi,52.2667,79.1667,11.75,95,89,10.25,RU,1710276689
29,chegdomyn,51.1167,133.0167,-11.96,100,59,1.52,RU,1710276811
30,yellowknife,62.456,-114.3525,11.41,97,100,20.71,CA,1710276597
31,edinburgh of the seven seas,-37.0676,-12.3116,62.73,70,100,13.04,SH,1710276811
32,talnakh,69.4865,88.3972,-7.8,97,100,16.13,RU,1710276812
33,sao joao da barra,-21.6403,-41.0511,82.49,80,24,11.54,BR,1710276812
34,tangalle,6.024,80.7911,76.32,83,18,9.19,LK,1710276812
35,waitangi,-43.9535,-176.5597,59.83,74,100,5.99,NZ,1710276812
36,bredasdorp,-34.5322,20.0403,65.17,78,11,1.39,ZA,1710276813
37,grytviken,-54.2811,-36.5092,41.32,81,30,9.44,GS,1710276813
38,kodiak,57.79,-152.4072,27.91,50,100,12.66,US,1710276583
39,chonchi,-42.6128,-73.8092,60.12,62,66,7.63,CL,1710276814
40,anna regina,7.2644,-58.5077,82.26,75,49,9.04,GY,1710276814
41,ushuaia,-54.8,-68.3,53.22,58,20,5.75,AR,1710276731
42,vallenar,-28.5708,-70.7581,87.42,27,0,6.8,CL,1710276814
43,port mathurin,-19.6833,63.4167,79.68,83,42,22.08,MU,1710276815
44,hirara,24.8,125.2833,62.46,59,100,20.71,JP,1710276815
45,myingyan,21.4667,95.3833,74.34,42,0,7.92,MM,1710276815
46,tuy hoa,13.0833,109.3,71.1,95,100,3.47,VN,1710276815
47,ola,59.5833,151.2833,13.8,81,100,4.68,RU,1710276816
48,georgetown,5.4112,100.3354,80.53,78,20,2.3,MY,1710276816
49,hauterive,46.0901,3.4459,50.76,93,100,4.36,FR,1710276816
50,bilibino,68.0546,166.4372,-15.77,96,99,3.42,RU,1710276597
51,tura,25.5198,90.2201,65.59,38,1,4.85,IN,1710276747
52,kirensk,57.7853,108.1119,17.96,94,95,5.99,RU,1710276758
53,puerto natales,-51.7236,-72.4875,59.45,41,75,26.46,CL,1710276579
54,ladario,-19.0047,-57.6017,95.29,55,75,11.5,BR,1710276817
55,skovorodino,53.9833,123.9167,5.85,98,99,2.3,RU,1710276817
56,dodge city,37.7528,-100.0171,73.69,18,0,21.85,US,1710276818
57,manokwari,-0.8667,134.0833,78.84,82,100,5.99,ID,1710276721
58,jacmel,18.2342,-72.5347,89.44,72,48,6.29,HT,1710276818
